ID,Category,Name,Address,City,State,Zipcode,Rating,Latitude,Longitude
CsLQLiRoafpJPJSkNX2h5Q,middle eastern,Middle East Deli,4508 E Independence Blvd,Charlotte,NC,28205,3,35.194894,-80.767442
lu7vtrp_bE9PnxWfA8g4Pg,japanese,Banzai Sushi,300 John Street,Thornhill,ON,L3T 5W4,4.5,43.8204923,-79.3984661
9sRGfSVEfLhN_km60YruTA,persian/iranian,Apadana Restaurant,13071 Yonge Street,Richmond Hill,ON,L4E 1A5,3,43.9470108,-79.45486165
9sRGfSVEfLhN_km60YruTA,middle eastern,Apadana Restaurant,13071 Yonge Street,Richmond Hill,ON,L4E 1A5,3,43.9470108,-79.45486165
fnZrZlqW1Z8iWgTVDfv_MA,mexican,Carl's Jr,9595 W Tropicana Ave,Las Vegas,NV,89147,2.5,36.0997379,-115.3015683
98hyK2QEUeI8v2y0AghfZA,vietnamese,Pho Lee's Vietnamese Restaurant,"1541 E 38th St, Ste 101",Cleveland,OH,44114,4.5,41.5121553,-81.663332
LoRef3ChgZKbxUio-sHgQg,lebanese,Amir,5252 Rue Jean Talon O,Montréal,QC,H4P 2A7,3,45.49487016,-73.65190359
LoRef3ChgZKbxUio-sHgQg,middle eastern,Amir,5252 Rue Jean Talon O,Montréal,QC,H4P 2A7,3,45.49487016,-73.65190359
Ga2Bt7xfqoggTypWD5VpoQ,mexican,Amando's Bros,2602 W Southern Ave,Tempe,AZ,85282,4,33.393199,-111.97627
Sd75ucXKoZUM2BEfBHFUOg,chinese,China Gourmet,"3460 E Southern Ave, Ste 109",Mesa,AZ,85204,3,33.39486287,-111.7560359
LAoSegVNU4wx4GTA8reB6A,middle eastern,Tzikii Food Truck,7510 S Priest Dr,Tempe,AZ,85283,3,33.3501044,-111.9636604
0QjROMVW9ACKjhSEfHqNCQ,vietnamese,Mi Mi Restaurant,688 Gerrard Street E,Toronto,ON,M4M 1Y3,4,43.66637634,-79.34877266
RrapAhd8ZxCj-iue7fu9FA,indian,Ganga Restaurant,515 4th Avenue SW,Calgary,AB,T2P 0J8,1.5,51.0494068,-114.072656
j9bWpCRwpDVfwVT_V85qeA,thai,Papaya Thai,2706 E University Dr,Mesa,AZ,85213,2.5,33.4237052,-111.7728895
6GHwgKNlvfIMUpFaxgBjUA,italian,L'Artisan Piadineria,3421 Rue Saint-Denis,Montréal,QC,H2L 3L2,4,45.51736881,-73.56794
